"a","b"
"http://hu.dbpedia.org/resource/Orson_Scott_Card","http://hu.dbpedia.org/resource/Végjáték_(regény)"
"http://pl.dbpedia.org/resource/Andrzej_Sapkowski","http://pl.dbpedia.org/resource/Pani_Jeziora_(powieść)"
"http://pl.dbpedia.org/resource/Jack_London","http://pl.dbpedia.org/resource/Bellew_Zawierucha"
"http://pl.dbpedia.org/resource/Henning_Mankell","http://pl.dbpedia.org/resource/Fałszywy_trop_(powieść)"
"http://pl.dbpedia.org/resource/Stanisław_Lem","http://pl.dbpedia.org/resource/Bajki_robotów"
"http://pl.dbpedia.org/resource/Antoni_Gołubiew","http://pl.dbpedia.org/resource/Bolesław_Chrobry_(powieść)"
"http://pl.dbpedia.org/resource/Mikołaj_Kopernik","http://pl.dbpedia.org/resource/De_revolutionibus_orbium_coelestium"
"http://pl.dbpedia.org/resource/Maria_Franciszka_Kozłowska","http://pl.dbpedia.org/resource/Dzieło_Wielkiego_Miłosierdzia"
"http://pl.dbpedia.org/resource/George_Orwell","http://pl.dbpedia.org/resource/Folwark_zwierzęcy"
"http://pl.dbpedia.org/resource/William_Szekspir","http://pl.dbpedia.org/resource/Hamlet"
"http://pl.dbpedia.org/resource/J._K._Rowling","http://pl.dbpedia.org/resource/Harry_Potter"
"http://pl.dbpedia.org/resource/John_Ronald_Reuel_Tolkien","http://pl.dbpedia.org/resource/Hobbit,_czyli_tam_i_z_powrotem"
"http://pl.dbpedia.org/resource/Aleksander_Dumas_(ojciec)","http://pl.dbpedia.org/resource/Hrabia_Monte_Christo"
"http://pl.dbpedia.org/resource/Tadeusz_Dołęga-Mostowicz","http://pl.dbpedia.org/resource/Kariera_Nikodema_Dyzmy"
"http://pl.dbpedia.org/resource/Henryk_Sienkiewicz","http://pl.dbpedia.org/resource/Krzyżacy_(powieść)"
"http://pl.dbpedia.org/resource/Vladimir_Nabokov","http://pl.dbpedia.org/resource/Lolita"
"http://pl.dbpedia.org/resource/Adolf_Hitler","http://pl.dbpedia.org/resource/Mein_Kampf"
